date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:27:40	632/632	---M--	200	added ('OK')	image/gif	etag:%2204e5a9d6aa8c81:0%22	http://boltcloud.co.in/a12rf3078p/Images/edit-icon.gif	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/Images/edit-icon.gif	(from http://boltcloud.co.in/a12rf3078p/SectionMaster.aspx)
22:27:41	75300/75300	---M--	200	added ('OK')	image/jpeg	etag:%220aca4f0ad5ece1:0%22	http://boltcloud.co.in/a12rf3078p/Images/bg.jpg	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/Images/bg.jpg	(from http://boltcloud.co.in/a12rf3078p/Common/StyleSheet.css)
22:27:41	607/607	---M--	200	added ('OK')	image/gif	etag:%2202be2f269a8c81:0%22	http://boltcloud.co.in/a12rf3078p/Images/delete.gif	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/Images/delete.gif	(from http://boltcloud.co.in/a12rf3078p/SectionMaster.aspx)
22:27:42	365404/365404	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2006%20Nov%202019%2016:57:19%20GMT	http://boltcloud.co.in/a12rf3078p/ScriptResource.axd?d=ezhT7xIuzDMAoTtjJJpI5wXRCElU0X_L4mNnftOlqoUboBtrAMtxAEIFm-EjBo5yPd12X0yc_QER5xZInd5Sv5FuZC-9GzfAGJtBYfjgHAVeipiHWxUqM0gvuClmqe208GWJDA2&t=fffffffffb83206a	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/ScriptResource82cf.js	(from http://boltcloud.co.in/a12rf3078p/StudentMaster.aspx)
22:27:43	96449/96449	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2006%20Nov%202019%2016:57:19%20GMT	http://boltcloud.co.in/a12rf3078p/ScriptResource.axd?d=9OKqSdPpn3-XGlT28mg6hDSDMVOMntSHNguwesLElv2VnSfaRVO8h8KTIVnHlWgz4Ruq-nAKa6kfIqTlCpHiZhlm6dTvI8dFewi6Wrr6RgrFyniFjK3JVRnz_HtIYVeSwrN6HQ2&t=fffffffffb83206a	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/ScriptResource612e.js	(from http://boltcloud.co.in/a12rf3078p/StudentMaster.aspx)
22:27:44	46765/46765	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2003%20Nov%202019%2010:21:30%20GMT	http://boltcloud.co.in/a12rf3078p/StudentMaster.aspx?_TSM_HiddenField_=t1_HiddenField&_TSM_CombinedScripts_=%3b%3bAjaxControlToolkit%2c+Version%3d3.5.7.429%2c+Culture%3dneutral%2c+PublicKeyToken%3d28f01b0e84b6d53e%3aen%3a776e8b41-f645-445e-b0a0-73e096383cec%3a475a4ef5%3aeffe2a26%3a7e63a579	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/StudentMasterbcaf.js	(from http://boltcloud.co.in/a12rf3078p/StudentMaster.aspx)
22:27:44	3005/3005	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2006%20Feb%202015%2023:33:22%20GMT	http://boltcloud.co.in/a12rf3078p/WebResource.axd?d=uFxiGftFbYzHYFR4iBQ-dSNi_O-0CiTAuvalVolBR3Sjoh9uzGA9RgRupbpFz6CNWlAICaxMQy2C4Gf4oK8fKVC3WL41&t=635588822026805809	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/WebResource4ffe.js	(from http://boltcloud.co.in/a12rf3078p/StudentMaster.aspx)
22:27:44	5353/5353	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2006%20Nov%202019%2016:57:22%20GMT	http://boltcloud.co.in/a12rf3078p/StudentDetails.aspx?SId=15	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/StudentDetails.23e906.delayed	(from http://boltcloud.co.in/a12rf3078p/StudentMaster.aspx)
22:27:45	22917/22917	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202019%2016:57:22%20GMT	http://boltcloud.co.in/a12rf3078p/FeeDeposit.aspx?StudentId=15	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/FeeDepositb735.html	(from http://boltcloud.co.in/a12rf3078p/StudentMaster.aspx)
22:27:45	211/211	---M--	200	added ('OK')	image/png	etag:%2207986a5e8a6ce1:0%22	http://boltcloud.co.in/a12rf3078p/Images/fee_icon.png	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/Images/fee_icon.png	(from http://boltcloud.co.in/a12rf3078p/StudentMaster.aspx)
